id,name,normalised_name,aliases
0a55afdb-2ff4-3db7-b703-19d8756387f1,Andreas Mørck,andreas-morck,{'Andreas Mørck'}
0a59ebf8-343a-3853-aa6e-2b5f2f2efab4,Adi Mulahalilovic,adi-mulahalilovic,{'Adi Mulahalilovic'}
0a5a902b-9c58-3d83-bb0b-c3f9a146688c,Phil van Cauwenbergh,phil-van-cauwenbergh,{'Phil van Cauwenbergh'}
0a695d17-038f-3d82-b5da-c3ffc9d271f9,Atlantis 2000,atlantis-2000,{'Atlantis 2000'}
0a847c5b-7c21-371e-a4d0-1c9aee6ca002,Wim Hogenkamp,wim-hogenkamp,{'Wim Hogenkamp'}
0a9b0ba8-7134-38c0-bea3-cfca68186ba8,Nika Kocharov and Young Georgian Lolitaz,nika-kocharov-and-young-georgian-lolitaz,{'Nika Kocharov and Young Georgian Lolitaz'}
0aacb120-6755-3085-af72-7c635966352d,Tatjana Karajanov Ilić,tatjana-karajanov-ilic,{'Tatjana Karajanov Ilić'}
0ab3f63d-7660-3727-ba76-3be7b495379a,Edu Mulahalilovic,edu-mulahalilovic,{'Edu Mulahalilovic'}
0af6547f-4b98-3610-831f-e7126541b237,Kjetil Mørland,kjetil-morland,{'Kjetil Mørland'}
0af7e69b-382f-31f6-99fb-dd0a07681d5f,Alka Vuica,alka-vuica,{'Alka Vuica'}
0b2bae01-1f08-3953-a3c0-bedd5bae2e8a,Stavros Sideras,stavros-sideras,{'Stavros Sideras'}
0b640b4a-24d6-3366-a435-54533425864b,Sammy Galea,sammy-galea,{'Sammy Galea'}
0ba3a3c6-b877-3531-8766-5fe06a2db37d,Berta Ambroz,berta-ambroz,{'Berta Ambroz'}
0bac8d83-568c-3981-ae14-f0f9dfa3fa4f,Jacques Raymond,jacques-raymond,{'Jacques Raymond'}
0baff55f-fa35-38c1-836a-440152b0699a,Tommy Seebach Band,tommy-seebach-band,{'Tommy Seebach Band'}
0bc8899b-3718-38be-b821-a52383559208,Veli-Pekka Lehto,veli-pekka-lehto,{'Veli-Pekka Lehto'}
0bceaa7d-3175-3ce5-90ed-8335741ffd04,Dragan Karanfilovski,dragan-karanfilovski,{'Dragan Karanfilovski'}
0bcf4fac-13dd-3804-b829-5b978b86bc77,Jacques Say,jacques-say,{'Jacques Say'}
0c4d65ce-f632-35ba-b7a9-cc1d4ebbf349,Marty Brem,marty-brem,{'Marty Brem'}
0c5876b3-a7fa-313e-a51e-d3b6c960323d,Stevan Raickovic,stevan-raickovic,{'Stevan Raickovic'}
0c68f247-a550-3e61-af60-1389afcf0fac,John Carter,john-carter,{'John Carter'}
0c756081-2e84-33f7-88d3-928838f0a616,Betty Curtis,betty-curtis,{'Betty Curtis'}
0c89ad46-e3fa-34fd-9b33-9b2db89039a5,Piero Soffici,piero-soffici,{'Piero Soffici'}
0c94b9b7-da7c-3e04-ac6c-3040cc532bee,Scott Fitzgerald,scott-fitzgerald,{'Scott Fitzgerald'}
0c9dc41c-16f4-30f8-a30c-8a568fb8f4bb,Marinella,marinella,{'Marinella'}
0cba65bc-034f-3ff5-b782-b66cf9778292,Goran Kovacic,goran-kovacic,{'Goran Kovacic'}
0cdfb877-90f2-3b64-be6c-0772079efcce,Sheeba,sheeba,{'Sheeba'}
0d0a97a3-0c33-3656-bc39-6add1e5dee5c,Domenico Modugno,domenico-modugno,{'Domenico Modugno'}
0d1478f5-1437-3fde-8124-f2a323f5ad23,Franco Battiato,franco-battiato,{'Franco Battiato'}
0d20711b-4435-3970-bc06-6bf1ea1babcd,Marcha,marcha,{'Marcha'}
0d2833a8-4734-3898-b706-c0fdff823ebb,"Hamed ""K-One"" Pirouzpanah",hamed-k-one-pirouzpanah,"{'Hamed ""K-One” Pirouzpanah', 'Hamed ""K-One"" Pirouzpanah'}"
0d48bd2b-8517-3634-b237-b62f838209ab,Ksenia Kuchukova,ksenia-kuchukova,{'Ksenia Kuchukova'}
0d523a1d-c8ca-3959-8ca5-e4fa26298ad5,Vangelis Konstantinidis,vangelis-konstantinidis,{'Vangelis Konstantinidis'}
