artist,country,points,performance_order,ranking,broadcaster,composers,contest_id,final_type,id,song,writers,spotify_id,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,contest_id_2,img_src,location,name,url,year
Kaliopi,F.Y.R. Macedonia,71.0,22,13,MKRTV,Romeo Grill,1e72efe5-71b9-3669-9b83-b0857549f15b,grand final,b8b0f572-e53b-303c-b581-b2687119aae6,Crno I Belo,Kaliopi,,,,,,,,,,,,,,1e72efe5-71b9-3669-9b83-b0857549f15b,https://apex.eurovision.tv/image/de26c67acd021423db5c00d42a9c1ac0,Baku,Baku 2012,/event/baku-2012,2012
Gaitana,Ukraine,65.0,25,15,NTU,Gaitana and KIWI Project,1e72efe5-71b9-3669-9b83-b0857549f15b,grand final,6ca48fd5-515a-3407-b351-7364c70f926c,Be My Guest,Gaitana,,,,,,,,,,,,,,1e72efe5-71b9-3669-9b83-b0857549f15b,https://apex.eurovision.tv/image/de26c67acd021423db5c00d42a9c1ac0,Baku,Baku 2012,/event/baku-2012,2012
Pasha Parfeny,Moldova,81.0,26,11,TRM,"Pasha Parfeny, Alex Brashovean",1e72efe5-71b9-3669-9b83-b0857549f15b,grand final,44f53f3c-702c-3561-9bce-12ca2e773300,Lăutar,Pasha Parfeny,,,,,,,,,,,,,,1e72efe5-71b9-3669-9b83-b0857549f15b,https://apex.eurovision.tv/image/de26c67acd021423db5c00d42a9c1ac0,Baku,Baku 2012,/event/baku-2012,2012
Marija Sestic,Bosnia & Herzegovina,106.0,1,11,BHRT,Aleksandra Milutinovic & Goran Kovacic,e4ca4b05-c62d-3bc9-844c-2711746e7694,grand final,632245e0-d8a3-3088-b787-33ddc7670cbe,Rijeka Bez Imena,Aleksandra Milutinovic & Goran Kovacic,,,,,,,,,,,,,,e4ca4b05-c62d-3bc9-844c-2711746e7694,https://apex.eurovision.tv/image/a39b21505b3e81b179d40363f12b48fd,Helsinki,Helsinki 2007,/event/helsinki-2007,2007
NASH,Spain,43.0,2,20,TVE,"Thomas G:son, Andreas Rickstrand",e4ca4b05-c62d-3bc9-844c-2711746e7694,grand final,aa298dc2-cd9d-3cb8-b7c7-61fd81d82cec,I Love You Mi Vida,"Tony Sanchez-Ohlsson, Rebeca Pous del Toro",,,,,,,,,,,,,,e4ca4b05-c62d-3bc9-844c-2711746e7694,https://apex.eurovision.tv/image/a39b21505b3e81b179d40363f12b48fd,Helsinki,Helsinki 2007,/event/helsinki-2007,2007
Dmitry Koldun,Belarus,145.0,3,6,BTRC,Philip Kirkorov,e4ca4b05-c62d-3bc9-844c-2711746e7694,grand final,c49e74f5-7878-35d0-ae10-e1eb3a21fc39,Work Your Magic,Karen Kavaleryan,,,,,,,,,,,,,,e4ca4b05-c62d-3bc9-844c-2711746e7694,https://apex.eurovision.tv/image/a39b21505b3e81b179d40363f12b48fd,Helsinki,Helsinki 2007,/event/helsinki-2007,2007
Dervish,Ireland,5.0,4,24,RTÉ,"John Waters, Tommy Moran",e4ca4b05-c62d-3bc9-844c-2711746e7694,grand final,466f1c90-b973-3240-98ea-aa0e1342af66,They Can't Stop The Spring,"John Waters, Tommy Moran",,,,,,,,,,,,,,e4ca4b05-c62d-3bc9-844c-2711746e7694,https://apex.eurovision.tv/image/a39b21505b3e81b179d40363f12b48fd,Helsinki,Helsinki 2007,/event/helsinki-2007,2007
Hanna Pakarinen,Finland,53.0,5,17,YLE,"Martti Vuorinen, Miikka Huttunen",e4ca4b05-c62d-3bc9-844c-2711746e7694,grand final,f86cf4ed-186e-34bc-bc35-fc16793d1a8a,Leave Me Alone,"Martti Vuorinen, Hanna Pakarinen",,,,,,,,,,,,,,e4ca4b05-c62d-3bc9-844c-2711746e7694,https://apex.eurovision.tv/image/a39b21505b3e81b179d40363f12b48fd,Helsinki,Helsinki 2007,/event/helsinki-2007,2007
Karolina,F.Y.R. Macedonia,73.0,6,14,MKRTV,"Grigor Koprov, Ognene Nedelkovski, Vladimir dojcinovski",e4ca4b05-c62d-3bc9-844c-2711746e7694,grand final,01690917-8462-3af9-b798-2a9f4adb18da,Mojot Svet,"Grigor Koprov, Ognene Nedelkovski, Vladimir dojcinovski",,,,,,,,,,,,,,e4ca4b05-c62d-3bc9-844c-2711746e7694,https://apex.eurovision.tv/image/a39b21505b3e81b179d40363f12b48fd,Helsinki,Helsinki 2007,/event/helsinki-2007,2007
Magdi Rúzsa,Hungary,128.0,8,9,MTV,Magdi Rúzsa,e4ca4b05-c62d-3bc9-844c-2711746e7694,grand final,1bd20d26-54fe-3854-a3f4-65408dde073e,Unsubstantial Blues,Imre Mózsik,,,,,,,,,,,,,,e4ca4b05-c62d-3bc9-844c-2711746e7694,https://apex.eurovision.tv/image/a39b21505b3e81b179d40363f12b48fd,Helsinki,Helsinki 2007,/event/helsinki-2007,2007
Sopho,Georgia,97.0,11,12,GPB,Beqa Jafaridze,e4ca4b05-c62d-3bc9-844c-2711746e7694,grand final,9c0872c8-4e3a-3034-aab8-091e96100529,Visionary Dream,Bibi Kvachadze,,,,,,,,,,,,,,e4ca4b05-c62d-3bc9-844c-2711746e7694,https://apex.eurovision.tv/image/a39b21505b3e81b179d40363f12b48fd,Helsinki,Helsinki 2007,/event/helsinki-2007,2007
Les Fatals Picards,France,19.0,13,22,France 3,"Ivan Callot, Laurent Honel, Jean-Marc Sauvagnargues, Yves Giraud, Paul Léger",e4ca4b05-c62d-3bc9-844c-2711746e7694,grand final,ec8b4501-bdd0-30c1-a13e-a04d8aba5b1f,L'amour à La Française,"Ivan Callot, Laurent Honel, Jean-Marc Sauvagnargues, Yves Giraud, Paul Léger",,,,,,,,,,,,,,e4ca4b05-c62d-3bc9-844c-2711746e7694,https://apex.eurovision.tv/image/a39b21505b3e81b179d40363f12b48fd,Helsinki,Helsinki 2007,/event/helsinki-2007,2007
Roger Cicero,Germany,49.0,16,19,ARD,Frank Ramond and Matthias Hass,e4ca4b05-c62d-3bc9-844c-2711746e7694,grand final,9ccc245d-995c-3f33-b5b3-20fcbfb1e15a,Frauen Regieren Die Welt,Frank Ramond and Matthias Hass,,,,,,,,,,,,,,e4ca4b05-c62d-3bc9-844c-2711746e7694,https://apex.eurovision.tv/image/a39b21505b3e81b179d40363f12b48fd,Helsinki,Helsinki 2007,/event/helsinki-2007,2007
Todomondo,Romania,84.0,20,13,TVR,Mister M,e4ca4b05-c62d-3bc9-844c-2711746e7694,grand final,750aff69-eb5a-3edd-a81a-1916bf35e136,"Liubi, Liubi, I Love You","Mister M, Vlad Creþu, Ghedi Kamara",,,,,,,,,,,,,,e4ca4b05-c62d-3bc9-844c-2711746e7694,https://apex.eurovision.tv/image/a39b21505b3e81b179d40363f12b48fd,Helsinki,Helsinki 2007,/event/helsinki-2007,2007
